FIPS,School District Name,County Names,State,LEA,SchoolDigger Number of Stars Elementary,SchoolDigger Number of Stars High,SchoolDigger Number of Stars Middle,SchoolDigger Rank Elementary,SchoolDigger Rank High,SchoolDigger Rank Middle,SchoolDigger Rank Of Elementary,SchoolDigger Rank Of High,SchoolDigger Rank Of Middle,Number of All students,% White students,% Black students,% Asian students,% Hispanic students,% American Indian/Alaska Native students,% Hawaiian Native/Pacific Islander students,% students with Two or More Races,Total Student membership/Full-Time-Equvalent teachers,Number of Charter schools,% Students Receiving Free or DisNumbered Lunch,Number of Magnet schools,Number of Virtual schools
601980,Allensworth Elementary School District,Tulare County,California,1980,,,,,,,,,,82,0,0,0,100,0,0,0,17.5,0,0,0,0
604560,Belridge Elementary School District,Kern County,California,4560,,,,,,,,,,40,2.5,0,0,97.5,0,0,0,13.3,0,0,0,0
605250,Blake Elementary School District,Kern County,California,5250,,,,,,,,,,13,69.2,0,0,30.8,0,0,0,13,0,0,0,0
608640,Cienega Union Elementary School District,San Benito County,California,8640,,,,,,,,,,30,63.3,0,0,36.7,0,0,0,15.7,0,0,0,0
611100,Desert Center Unified School District,Riverside County,California,11100,,,,,,,,,,15,60,0,0,40,0,0,0,7.5,0,0,0,0
614130,Fort Ross Elementary School District,Sonoma County,California,14130,,,,,,,,,,19,57.9,0,0,42.1,0,0,0,7.9,0,0,0,0
618810,Jefferson Elementary School District,San Benito County,California,18810,,,,,,,,,,9,44.4,0,0,55.6,0,0,0,9,0,0,0,0
623550,Manchester Union Elementary School District,Mendocino County,California,23550,,,,,,,,,,40,35,0,0,65,0,0,0,13.3,0,0,0,0
629770,Panoche Elementary School District,San Benito County,California,29770,,,,,,,,,,3,0,0,0,100,0,0,0,3,0,0,0,0
801980,Agate School District 300,Elbert County,Colorado,1980,,,,,,,,,,4,25,0,0,75,0,0,0,1.8,0,0,0,0
802220,Arickaree School District R-2,Washington County,Colorado,2220,,,,,,,,,,101,63.4,0,0,36.6,0,0,0,7.5,0,0,0,0
806090,Pritchett School District RE-3,Baca County,Colorado,6090,,,,,,,,,,42,92.9,0,0,7.1,0,0,0,5.366666667,0,0,0,0
806570,Silverton School District 1,San Juan County,Colorado,6570,,,,,,,,,,68,70.6,0,0,29.4,0,0,0,6,0,0,0,0
802130,South Conejos School District RE-10,Conejos County,Colorado,2130,,,,,,,,,,181,3.9,0,0,96.1,0,0,0,9.333333333,0,0,0,0
806990,Vilas School District RE-5,Baca County,Colorado,6990,,,,,,,,,,45,73.3,0,0,26.7,0,0,0,8.2,0,0,0,0
900630,Canaan School District,Litchfield County,Connecticut,630,,,,,,,,,,71,91.5,0,0,8.5,0,0,0,6.5,0,0,0,0
1603210,Three Creek Joint Elementary School District 416,Owyhee County,Idaho,3210,,,,,,,,,,7,71.4,0,0,28.6,0,0,0,8.7,0,0,0,0
1603210,Three Creek Joint Elementary School District 416,Twin Falls County,Idaho,3210,,,,,,,,,,7,71.4,0,0,28.6,0,0,0,8.7,0,0,0,0
1700323,Crescent Iroquois Community Unit School District 2,Iroquois County,Illinois,323,,,,,,,,,,81,95.1,0,0,4.9,0,0,0,9,0,0,0,0
1729730,Ohio Community High School District 505,Bureau County,Illinois,29730,,,,,,,,,,35,97.1,0,0,2.9,0,0,0,4.5,0,0,0,0
1729730,Ohio Community High School District 505,Lee County,Illinois,29730,,,,,,,,,,35,97.1,0,0,2.9,0,0,0,4.5,0,0,0,0
1912600,Gilmore City-Bradgate Community School District,Humboldt County,Iowa,12600,,,,,,,,,,69,97.1,0,0,2.9,0,0,0,7.9,0,0,0,0
